"orderNumber";"orderDate";"requiredDate";"shippedDate";"status";"comments";"customerNumber"
"10100";"2003-01-06";"2003-01-13";"2003-01-10";"Shipped";NULL;"363"
"10101";"2003-01-09";"2003-01-18";"2003-01-11";"Shipped";"Check on availability.";"128"
"10102";"2003-01-10";"2003-01-18";"2003-01-14";"Shipped";NULL;"181"
"10103";"2003-01-29";"2003-02-07";"2003-02-02";"Shipped";NULL;"121"
"10104";"2003-01-31";"2003-02-09";"2003-02-01";"Shipped";NULL;"141"
"10105";"2003-02-11";"2003-02-21";"2003-02-12";"Shipped";NULL;"145"
"10106";"2003-02-17";"2003-02-24";"2003-02-21";"Shipped";NULL;"278"
"10107";"2003-02-24";"2003-03-03";"2003-02-26";"Shipped";"Difficult to negotiate with customer. We need more marketing materials";"131"
"10108";"2003-03-03";"2003-03-12";"2003-03-08";"Shipped";NULL;"385"
"10109";"2003-03-10";"2003-03-19";"2003-03-11";"Shipped";"Customer requested that FedEx Ground is used for this shipping";"486"
"10110";"2003-03-18";"2003-03-24";"2003-03-20";"Shipped";NULL;"187"
"10111";"2003-03-25";"2003-03-31";"2003-03-30";"Shipped";NULL;"129"
"10112";"2003-03-24";"2003-04-03";"2003-03-29";"Shipped";"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment";"144"
"10113";"2003-03-26";"2003-04-02";"2003-03-27";"Shipped";NULL;"124"
"10114";"2003-04-01";"2003-04-07";"2003-04-02";"Shipped";NULL;"172"
"10115";"2003-04-04";"2003-04-12";"2003-04-07";"Shipped";NULL;"424"
"10116";"2003-04-11";"2003-04-19";"2003-04-13";"Shipped";NULL;"381"
"10117";"2003-04-16";"2003-04-24";"2003-04-17";"Shipped";NULL;"148"
"10118";"2003-04-21";"2003-04-29";"2003-04-26";"Shipped";"Customer has worked with some of our vendors in the past and is aware of their MSRP";"216"
"10119";"2003-04-28";"2003-05-05";"2003-05-02";"Shipped";NULL;"382"
"10120";"2003-04-29";"2003-05-08";"2003-05-01";"Shipped";NULL;"114"
"10121";"2003-05-07";"2003-05-13";"2003-05-13";"Shipped";NULL;"353"
"10122";"2003-05-08";"2003-05-16";"2003-05-13";"Shipped";NULL;"350"
"10123";"2003-05-20";"2003-05-29";"2003-05-22";"Shipped";NULL;"103"
"10124";"2003-05-21";"2003-05-29";"2003-05-25";"Shipped";"Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch";"112"
"10125";"2003-05-21";"2003-05-27";"2003-05-24";"Shipped";NULL;"114"
"10126";"2003-05-28";"2003-06-07";"2003-06-02";"Shipped";NULL;"458"
"10127";"2003-06-03";"2003-06-09";"2003-06-06";"Shipped";"Customer requested special shippment. The instructions were passed along to the warehouse";"151"
"10128";"2003-06-06";"2003-06-12";"2003-06-11";"Shipped";NULL;"141"
"10129";"2003-06-12";"2003-06-18";"2003-06-14";"Shipped";NULL;"324"
"10130";"2003-06-16";"2003-06-24";"2003-06-21";"Shipped";NULL;"198"
"10131";"2003-06-16";"2003-06-25";"2003-06-21";"Shipped";NULL;"447"
"10132";"2003-06-25";"2003-07-01";"2003-06-28";"Shipped";NULL;"323"
"10133";"2003-06-27";"2003-07-04";"2003-07-03";"Shipped";NULL;"141"
"10134";"2003-07-01";"2003-07-10";"2003-07-05";"Shipped";NULL;"250"
"10135";"2003-07-02";"2003-07-12";"2003-07-03";"Shipped";NULL;"124"
"10136";"2003-07-04";"2003-07-14";"2003-07-06";"Shipped";"Customer is interested in buying more Ferrari models";"242"
"10137";"2003-07-10";"2003-07-20";"2003-07-14";"Shipped";NULL;"353"
"10138";"2003-07-07";"2003-07-16";"2003-07-13";"Shipped";NULL;"496"
"10139";"2003-07-16";"2003-07-23";"2003-07-21";"Shipped";NULL;"282"
"10140";"2003-07-24";"2003-08-02";"2003-07-30";"Shipped";NULL;"161"
"10141";"2003-08-01";"2003-08-09";"2003-08-04";"Shipped";NULL;"334"
"10142";"2003-08-08";"2003-08-16";"2003-08-13";"Shipped";NULL;"124"
"10143";"2003-08-10";"2003-08-18";"2003-08-12";"Shipped";"Can we deliver the new Ford Mustang models by end-of-quarter?";"320"
"10144";"2003-08-13";"2003-08-21";"2003-08-14";"Shipped";NULL;"381"
"10145";"2003-08-25";"2003-09-02";"2003-08-31";"Shipped";NULL;"205"
"10146";"2003-09-03";"2003-09-13";"2003-09-06";"Shipped";NULL;"447"
"10147";"2003-09-05";"2003-09-12";"2003-09-09";"Shipped";NULL;"379"
"10148";"2003-09-11";"2003-09-21";"2003-09-15";"Shipped";"They want to reevaluate their terms agreement with Finance.";"276"
"10149";"2003-09-12";"2003-09-18";"2003-09-17";"Shipped";NULL;"487"
"10150";"2003-09-19";"2003-09-27";"2003-09-21";"Shipped";"They want to reevaluate their terms agreement with Finance.";"148"
"10151";"2003-09-21";"2003-09-30";"2003-09-24";"Shipped";NULL;"311"
"10152";"2003-09-25";"2003-10-03";"2003-10-01";"Shipped";NULL;"333"
"10153";"2003-09-28";"2003-10-05";"2003-10-03";"Shipped";NULL;"141"
"10154";"2003-10-02";"2003-10-12";"2003-10-08";"Shipped";NULL;"219"
"10155";"2003-10-06";"2003-10-13";"2003-10-07";"Shipped";NULL;"186"
"10156";"2003-10-08";"2003-10-17";"2003-10-11";"Shipped";NULL;"141"
"10157";"2003-10-09";"2003-10-15";"2003-10-14";"Shipped";NULL;"473"
"10158";"2003-10-10";"2003-10-18";"2003-10-15";"Shipped";NULL;"121"
"10159";"2003-10-10";"2003-10-19";"2003-10-16";"Shipped";NULL;"321"
"10160";"2003-10-11";"2003-10-17";"2003-10-17";"Shipped";NULL;"347"
"10161";"2003-10-17";"2003-10-25";"2003-10-20";"Shipped";NULL;"227"
"10162";"2003-10-18";"2003-10-26";"2003-10-19";"Shipped";NULL;"321"
"10163";"2003-10-20";"2003-10-27";"2003-10-24";"Shipped";NULL;"424"
